class_name,parent_class
,Wearable_Computers
Encryption,Encryption_and_Compression
Microprogramming,Hardware_and_Architecture
Computational_Complexity,Data_Structures__Algorithms_and_Theory
Encryption_and_Compression,
Performance,Databases
Sorting,Data_Structures__Algorithms_and_Theory
Operating_Systems,
Speech,Artificial_Intelligence
Computational_Geometry,Data_Structures__Algorithms_and_Theory
Logic,Programming
Theorem_Proving,Artificial_Intelligence
Garbage_Collection,Programming
Retrieval,Information_Retrieval
Compression,Encryption_and_Compression
Distributed_Architectures,Hardware_and_Architecture
Human_Computer_Interaction,
Semantics,Programming
High_Performance_Computing,Hardware_and_Architecture
Java,Programming
Robotics,Artificial_Intelligence
Artificial_Intelligence,
Reinforcement_Learning,Machine_Learning
Genetic_Algorithms,Machine_Learning
Data_Mining,Artificial_Intelligence
Networking,
Planning,Artificial_Intelligence
Databases,
Cooperative,Human_Computer_Interaction
Functional,Programming
Case-Based,Machine_Learning
Graphics_and_Virtual_Reality,Human_Computer_Interaction
Wireless,Networking
Query_Evaluation,Databases
Deductive,Databases
NLP,Artificial_Intelligence
Relational,Databases
Compiler_Design,Programming
Programming,
Probabilistic_Methods,Machine_Learning
VLSI,Hardware_and_Architecture
Input_Output_and_Storage,Hardware_and_Architecture
Machine_Learning,Artificial_Intelligence
Interface_Design,Human_Computer_Interaction
Logic_Design,Hardware_and_Architecture
Parallel,Data_Structures__Algorithms_and_Theory
Distributed,Operating_Systems
Concurrency,Databases
Vision_and_Pattern_Recognition,Artificial_Intelligence
Security,Encryption_and_Compression
Theory,Machine_Learning
Hardware_and_Architecture,
Fault_Tolerance,Operating_Systems
Temporal,Databases
Knowledge_Representation,Artificial_Intelligence
Data_Structures__Algorithms_and_Theory,
Memory_Structures,Hardware_and_Architecture
Wearable_Computers,Human_Computer_Interaction
Neural_Networks,Machine_Learning
Filtering,Information_Retrieval
Expert_Systems,Artificial_Intelligence
Memory_Management,Operating_Systems
Routing,Networking
Formal_Languages,Data_Structures__Algorithms_and_Theory
Software_Development,Programming
Internet,Networking
Hashing,Data_Structures__Algorithms_and_Theory
Debugging,Programming
Object_Oriented,Programming
Digital_Library,Information_Retrieval
Information_Retrieval,
Rule_Learning,Machine_Learning
Protocols,Networking
Games_and_Search,Artificial_Intelligence
Multimedia,Human_Computer_Interaction
Randomized,Data_Structures__Algorithms_and_Theory
Quantum_Computing,Data_Structures__Algorithms_and_Theory
Agents,Artificial_Intelligence
Realtime,Operating_Systems
Extraction,Information_Retrieval
