author_name,paper_id
M.R. Garey,2
D.S. Johnson,2
D. DeWitt,16
P. Futtersack,16
D. Maier,16
F. Velez,16
A. Hosking,18
J. E. B. Moss,18
Liskov B.,20
Day M.,20
Shrira L.,20
J. O\'Toole,22
L. Shrira,22
S. J. White,25
D. J. DeWitt.,25
Wilson,26
P. R.,26
D. Goldberg.,35
Michael A. Lee,40
Hideyuki Takagi.,40
D. L. Black,51
Karlin,54
A. R.,54
Li,54
K.,54
Manasse,54
M.,54
Owicki,54
S.,54
O. Krieger,56
M. Stumm,56
R. Unrau.,56
Marsh,59
B.,59
Scott,59
M.,59
LeBlanc,59
T.,59
Markatos,59
E.,59
John M. Mellor-Crummey,60
Michael L. Scott.,60
R. Wisniewski,62
L. Kontothanassis,62
M. Scott.,62
Anant Agarwal,65
David Chaiken,65
Godfrey D\'Souza,65
Kirk John-son,65
David Kranz,65
John Kubiatowicz,65
Kiyoshi Kurihara,65
Beng-Hong Lim,65
Gino Maa,65
Dan Nussbaum,65
Mike Parkin,65
Donald Yeung.,65
Virginia M. Lo,80
Sanjay Rajopadhye,80
et. al. Oregami:,80
M. L. Bailey,91
B. Gopal,91
P. Sarkar,91
M. A. Pagels,91
L. L. Peterson. Pathfinder:,91
Dawson R. Engler,95
M. Frans Kaashoek,95
James W. O\'Toole Jr. Exokernel:,95
J. Kay,100
J. Pasquale.,100
Henry Massalin.,101
Steven McCanne,103
Van Jacobsen.,103
S. O\'Malley,106
T. Proebstring,106
A. Montz.,106
Pettis,107
K.,107
Hansen,107
R. C.,107
Barto,114
A.G.,114
Bradtke,114
S.J.,114
Singh,114
S.P.,114
Howard,117
R. A.,117
Singh,128
S. P.,128
P. Tadepalli,130
D.,130
H.D. Block,136
S.A. Levin.,136
Zubin D. Dittia,138
Guru M. Parulkar,138
Jr. Jerome R. Cox.,138
Engler,139
Kaashoek. DPF:,139
Aniruddha Gokhale,141
Douglas C. Schmidt.,141
Aniruddha Gokhale,142
Douglas C. Schmidt.,142
Aniruddha Gokhale,144
Douglas C. Schmidt.,144
Tim Harrison,145
David Levine,145
Douglas C. Schmidt.,145
M. Jayaram,146
R. K. Cytron,146
D. C. Schmidt,146
G. Vargh-ese,146
Mogul,148
J.C.,148
Rashid,148
R.F.,148
Accetta,148
M.J.,148
Douglas C. Schmidt,149
GPERF:,149
Douglas C. Schmidt,150
Chris Cleeland.,150
Douglas C. Schmidt,151
David L. Levine,151
D. L. Tennenhouse.,152
Steve Vinoski.,153
S. Ar,155
R.J. Lipton,155
R. Rubinfeld,155
M. Su-dan.,155
O. Goldreich,164
R. Rubinfeld,164
M. Sudan.,164
M. Sudan,173
H. Wasserman.,177
P. Cheeseman,184
B. Kanefsky,184
W. M. Taylor,184
I.L. Chuang,185
R. Laamme,185
P.W. Shor,185
Tad Hogg.,201
Steven Minton,212
Mark Johnston,212
Andrew Philips,212
Philip Laird.,212
D. Mitchell,213
B. Selman,213
H. Levesque,213
B. Selman.,219
B. Curless,249
M. Levoy,249
Trevor Darrell,250
Alex P. Pentland.,250
Yvan G. Leclerc.,260
Mardia,264
K. V.,264
Kent,264
J. T.,264
Bibby,264
J. M.,264
J.V. Miller,266
C.V. Stewart,266
C. V. Stewart. MINPRAN:,272
S. C. Zhu,280
T. S. Lee,280
A. L. Yuille.,280
Bartell,282
B.T.,282
Cottrell G.W.,282
R.K.,282
A. W. Moore,288
J. Schneider,288
Alexander S. Aiken,294
Edward L. Wimmers.,294
K. Bruce,297
L. Cardelli,297
G. Castagna,297
The Hopkins Object Group,297
G. Leavens,297
B. Pierce.,297
Jonathan Eifrig,304
Scott Smith,304
Valery Trifonov,304
Amy Zwarico.,304
Rakesh Agrawal,320
Christos Faloutsos,320
Arun Swami,320
Christos Faloutsos,333
M. Ranganathan,333
Yannis Manolopoulos.,333
F. Korn,343
N. Sidiropolous,343
C. Faloutos,343
E. Siegel,343
Z. Protopapas.,343
R.G. Covington,382
S. Dwarkadas,382
J.R. Jump,382
J.B. Sinclair,382
S. Madala.,382
Pope,404
A.,404
Lowe,404
D.,404
Arthur R. Pope.,405
D. Wettschereck.,424
William Cohen.,428
Tom M. Mitchell,434
Sebastian B. Thrun.,434
G. G. Towell,444
J. W. Shavlik,444
M. O. Noordewier,444
S. Horwitz,449
J. Prins,449
T. Reps.,449
D. J. Kuck,452
R. H. Kuhn,452
B. Leasure,452
D. A. Padua,452
M. Wolfe.,452
Ellman,463
T.,463
Schwabacher,463
M.,463
M.J. Franklin,481
M. Carey.,481
Mahadev Satyanarayanan,489
James J. Kistler,489
Puneet Kumar,489
Maria E. Okasaki,489
E. H. Siegel,489
D. C. Steere,489
Coda:,489
Samuel J. Leffler,491
Marshall Kirk McKusick,491
Michael J. Karels,491
John S. Quarterman.,491
Doyle,500
J.,500
J. Doyle.,501
J. Doyle.,502
J. Doyle.,504
J. Doyle,506
V. Lifschitz.,526
B. Berger,559
P. W. Shor,559
L. Tucker-Kellogg,559
J. King.,559
Guruduth Banavar.,589
Guruduth Banavar,590
Gary Lindstrom,590
Douglas Orr.,590
Guruduth Banavar,591
Douglas Orr,591
Gary Lindstrom.,591
Gilad Bracha,592
Gary Lindstrom.,592
Kim B. Bruce.,593
William Cook.,597
Curtis,598
P.,598
J. Rauen.,598
Erich Gamma,599
Richard Helm,599
Ralph Johnson,599
John Vlissides,599
Graham Hamilton,600
Sanjay Radia.,600
Orr,605
D.,605
Mecklenburg,605
R. W.,605
Sho-Huang Simon Tung.,608
L. Lamport,610
M. Abadi.,610
S. Aggrawal.,611
T. A. Henzinger,613
P.-H. Ho.,613
J.Baeten,617
J.Bergstra.,617
R. Gawlick,621
R. Segala,621
J.F. Stgaard-Andersen,621
N.A. Lynch.,621
J. V. Guttag,626
J. J. Horning.,626
Heitmeyer,627
C.; Lynch,627
N.:,627
T.A. Henzinger.,628
Thomas A. Henzinger,630
Xavier Nicollin,630
Joseph Sifakis,630
Sergio Yovine.,630
L. Lamport.,635
Jtrgen Stgaard-Andersen,636
Nancy Lynch,636
Butler Lampson.,636
V. Luchangco.,637
Nancy Lynch,642
Isaac Saias,642
Roberto Segala.,642
N. Lynch,643
M. Tuttle.,643
F.W. Vaandrager,644
N.A. Lynch.,644
Nancy Lynch,645
Frits Vaandrager.,645
N.A. Lynch,648
H.B. Weinberg.,648
Pnueli,649
A.,649
Mark Tuttle,651
Michael Meritt,651
Francesmary Modugno.,651
X. Nicollin,656
J. Sifakis,656
S. Yovine.,656
G.Reed,658
A.Roscoe,658
Roberto Segala.,659
Jennifer M. Anderson,668
Monica S. Lam,668
David F. Bacon,670
Susan L. Graham,670
Oliver J. Sharp,670
David Bau,673
Induprakas Kodukula,673
Vladimir Kotlyar,673
Keshav Pingali,673
Paul Stodghil.,673
Wayne Kelly,678
William Pugh.,678
Wayne Kelly,679
William Pugh.,679
W. Kelly,680
W. Pugh.,680
K. Kennedy,681
K. S. McKinley.,681
Vivek Sarkar,684
Radhika Thekkath.,684
M.E. Wolf.,686
Wolf,687
M.,687
Lam,687
Young,724
M.,724
Tevanian,724
A.,724
Rashid,724
R.,724
Golub,724
D.,724
Eppinger,724
J.,724
Chew,724
Bolosky,724
W.,724
Black,724
Baron,724
R..,724
S. Y. W. Su,726
H. Lam,726
et al.,726
"""OSAM*.KBMS:",726
Barbara Liskov,737
Sanjay Ghemawat,737
Robert Gruber,737
Paul Johnson,737
Liuba Shrira,737
Michael Williams.,737
U. Maheshwari.,741
J. Eliot B. Moss,742
Tony Printezis,743
Malcolm Atkinson,743
Laurent Daynes,743
Susan Spence,743
Pete Bailey.,743
A. Barrett,763
D. Weld,763
David McAllister,777
David Rosenblitt.,777
J. S. Penberthy,783
D. S. Weld,783
UCPOP:,783
E. Malavasi,801
D. Pandini,801
V. Liberali,801
M.C. Ferris,822
J.S. Pang,822
M.C. Ferris,823
T.F. Rutherford,823
C. Kanzow,831
M. Fukushima:,831
P. Marcotte,834
J.-P. Dussault,834
J.M. Peng,837
M. Fukushima,837
Prasun Dewan,844
Rajiv Choudhary.,844
Martin R. Frank.,846
Ousterhout J.K.,854
Randy Pausch,855
Matthew Conway,855
Robert DeLine.,855
P. Szekely:,859
S.L. Epstein.,868
Susan L. Epstein.,869
Epstein,870
S. L.,870
Ratterman,886
M. J.,886
Epstein,886
S. L.,886
A. L. Samuels.,887
Venkata N. Padmanabhan,899
Jeffrey C. Mogul.,899
Venkata N. Padmanabhan.,900
Federico Girosi,906
Michael Jones,906
Tomaso Poggio.,906
Tomaso Poggio,910
Federico Girosi,910
A. Ram,936
L. Hunter.,936
A. Ram.,940
A. Ram.,941
A. Ram.,942
A. Ram.,943
T. Bultan,984
J. Fischer,984
R. Gerber.,984
Wayne Kelly,994
William Pugh,994
Evan Rosser,994
Tatiana Shpeisman.,994
W. Pugh.,995
N. Soundarajan,1014
S. Fridella.,1014
Sunderam,1016
V. S.,1016
Genes,1026
Gruau,1027
F.,1027
Whitley,1027
D.,1027
Mayley,1033
G.,1033
No Pain,1034
Menczer,1035
F.,1035
Belew,1035
R. K.,1035
John McCarthy.,1047
Lieberman,1050
H.,1050
Hewitt,1050
C.,1050
P. Deutsch,1055
J-L. Gailly. RFC1950:,1055
G. Tesauro.,1066
L. Weaver,1067
T. Bossomaier.,1067
James Arvo,1068
Kenneth Torrance,1068
Brian Smits.,1068
L. Aupperle,1069
P. Hanrahan,1069
Cohen,1073
M. F.,1073
Wallace,1073
J. R.,1073
GERSHBEIN,1075
R. S.,1075
SCHR ODER,1075
P.,1075
AND HANRAHAN,1075
ZATZ H. R.:,1093
Bentley,1099
J.L.,1099
D. B. Lomet,1109
B. Salzberg,1109
C. Faloutsos,1110
S. Roseman.,1110
Ibrahim Kamel,1129
Christos Faloutsos. Hilbert r-tree:,1129
J. Orenstein,1142
C. Faloutsos T. Sellis,1149
N. Roussopoulos.,1149
D.L. Wang,1185
D. Terman,1185
A. Burns.,1187
R. Gerber,1194
S. Hong.,1194
S. Hong,1196
R. Gerber.,1196
Susan Horwitz,1197
Thomas Reps,1197
David Binkley.,1197
F.Jahanian,1199
A.Mok,1199
Michael D. Smith,1213
Mark Horowitz,1213
Monica S. Lam.,1213
Benjamin N. Grosof.,1221
Benjamin N. Grosof. Prioritizing mul tiple,1223
Honavar,1237
V.G.,1237
Jeffrey D. Ullman John E. Hopcroft.,1238
Parekh R.G.,1244
Honavar V.G.,1244
Schapire,1246
R.E.,1246
Robert Armstrong,1248
Dayne Freitag,1248
Thorsten Joachims,1248
Tom Mitchell. WebWatcher:,1248
Balabanovic,1249
M.,1249
Shoham,1249
Y.,1249
Bowman,1250
M.,1250
Danzig,1250
P.,1250
Manber,1250
U.,1250
Schwartz,1250
F.,1250
Fikes,1253
R.; Engelmore,1253
R.; Farquhar,1253
A.;,1253
Pratt,1253
W.,1253
Craig A. Knoblock,1256
Alon Y Levy.,1256
Craig K. Knoblock.,1257
T. Oates,1262
M. Prasad,1262
V. Lesser.,1262
Erik Selberg,1263
Oren Etzioni.,1263
Shlomo Zilberstein.,1265
N. Arni,1266
K. Ong,1266
S. Tsur,1266
C. Zaniolo.,1266
J. R. Quinlan,1272
G. Novak,1283
M. Chechik,1284
J. Gannon.,1284
Vibha A. Dixit-Radiya,1297
Dhabaleswar K. Panda.,1297
J. M. Ortega,1306
Myers,1319
Brad A.,1319
Buxton,1319
William.,1319
D. Callahan,1327
K. Kennedy.,1327
Fox,1331
G. C.,1331
Hiranandani,1331
S.,1331
Kennedy,1331
K.,1331
Koelbel,1331
C.,1331
Kremer,1331
U.,1331
Tseng,1331
C.-W.,1331
Wu,1331
M.-Y.,1331
S. Hiranandani,1340
K. Kennedy,1340
C. W. Tseng.,1340
S. Hiranandani,1341
K. Kennedy,1341
C.-W. Tseng,1341
M. Rosing,1357
R. Schnabel,1357
R. Weaver.,1357
T. Kohonen,1365
Thomas Knight,1369
Henry Wu.,1369
Abrams,1371
M.,1371
Batongbacal,1371
A.,1371
Ribler,1371
R.,1371
Vazirani,1371
D.,1371
R. Agrawal,1372
A. Arning,1372
T. Bollinger,1372
M. Mehta,1372
J. Shafer,1372
R. Srikant.,1372
W. L. Buntine.,1374
H. T. Cadiz.,1375
Howe,1379
Adele E.,1379
Cohen,1379
P.R.,1379
Adele E. Howe,1380
Larry D. Pyeatt.,1380
Heikki Mannila,1382
Hannu Toivonen,1382
A. Inkeri Verkamo.,1382
Tim Oates,1383
Paul R. Cohen.,1383
Judea Pearl,1384
Larry D. Pyeatt,1385
Adele E. Howe,1385
Charles W. Anderson.,1385
Srinivasan,1386
Raghavan,1386
Howe,1386
Adele E.,1386
R. Simmons.,1388
K. N. Kutulakos,1397
C. R. Dyer,1397
Kiriakos N. Kutulakos,1400
Charles R. Dyer.,1400
K. N. Kutulakos,1402
V. J. Lumelsky,1402
C. R. Dyer,1402
Ole Agesen.,1404
Ole Agesen,1405
Jens Palsberg,1405
Michael I. Schwartzback.,1405
J. Michael Ashley.,1407
David F. Bacon,1409
Peter F. Sweeney.,1409
Craig Chambers,1411
David Ungar.,1411
Craig Chambers.,1412
Jeffrey Dean,1414
David Grove,1414
Craig Chambers.,1414
Jeffrey Dean,1415
Greg DeFouw,1415
David Grove,1415
Vassily Litvinov,1415
Craig Chambers.,1415
Greg DeFouw,1416
David Grove,1416
Craig Chambers.,1416
Cormac Flanagan,1418
Matthias Felleisen.,1418
David Grove,1420
Greg DeFouw,1420
Jeffrey Dean,1420
Craig Chambers.,1420
Nevin Heintze,1421
David McAllester.,1421
Suresh Jagannathan,1424
Stephen Weeks.,1424
N. Oxhoj,1427
J. Palsberg,1427
M. Schwartzbach.,1427
J. B. Plevyak,1428
A. A. Chien.,1428
Olin Shivers.,1429
Bjarne Steensgaard.,1431
D. Dean,1454
D.S. Wallach.,1454
Robert Wahbe,1461
Steven Lucco,1461
Thomas E. Anderson,1461
Susan L. Graham.,1461
S. Arora.,1463
S. Arora,1464
D. Karger,1464
M. Karpinski,1464
S. Arora,1465
C. Lund,1465
R. Motwani,1465
M. Sudan,1465
M. Szegdy,1465
Michael Luby,1472
Noam Nissan.,1472
C. Papadimitriou,1474
M. Yannakakis.,1474
Aamodt,1481
A.,1481
Plaza,1481
E.,1481
Yigal Arens,1485
Chin Chee,1485
Chun-Nan Hsu,1485
Craig A. Knoblock.,1485
Victor R.,1492
M. V. Nagendraprasad,1493
S. E. Lander,1493
V. R. Lesser,1493
Greg Eisenhauer,1547
Karsten Schwan.,1547
C. Pu,1553
H. Massalin,1553
J. Ioannidis.,1553
L. Babai,1560
L. Fortnow,1560
N. Nisan,1560
A. Wigderson.,1560
M. Furer,1563
O. Goldreich,1563
Y. Mansour,1563
M. Sipser,1563
S. Zachos.,1563
O. Goldreich.,1564
S. Goldwasser,1565
S. Micali,1565
C. Rackoff.,1565
Alexander Russell,1569
Ravi Sundaram.,1569
David Zuckerman,1573
J. Heidemann.,1580
Shepard,1581
T.,1581
V. Jacobson,1583
Vern Paxson,1585
T. M. Austin,1600
T.N. Vijaykumar,1600
G. S. Sohi.,1600
Matthew Farrens,1605
Arvin Park,1605
Adve,1615
S.V.,1615
Hill,1615
D. Bailey,1616
J. Barton,1616
T. Lasinski,1616
H. Simon,1616
John B. Carter,1618
John K. Bennett,1618
Willy Zwaenepoel.,1618
J. B. Carter,1619
J. K. Bennett,1619
W. Zwaenepoel.,1619
R. W. Cottingham Jr.,1621
R. M. Idury,1621
A. A. Schaffer.,1621
S. Dwarkadas,1622
A.A. Schaffer,1622
R.W. Cottingham Jr.,1622
A.L. Cox,1622
P. Keleher,1622
W. Zwaenepoel.,1622
G. A. Geist,1623
